STEAUA,METALURGIC,FABRA,LPS,HELIOS,PARC HOTEL,CATEDRALA,ACH
05:35,05:36,05:38,05:40,05:42,05:44,05:47,05:50
06:25,06:26,06:28,06:30,06:32,06:34,06:37,06:40
07:15,07:16,07:18,07:20,07:22,07:24,07:27,07:30
08:05,08:06,08:08,08:10,08:12,08:14,08:17,08:20
08:55,08:56,08:58,09:00,09:02,09:04,09:07,09:10
09:45,09:46,09:48,09:50,09:52,09:54,09:57,10:00
10:40,10:41,10:43,10:45,10:47,10:49,10:52,10:55
11:30,11:31,11:33,11:35,11:37,11:39,11:42,11:45
12:55,12:56,12:58,13:00,13:02,13:04,13:07,13:10
13:45,13:46,13:48,13:50,13:52,13:54,13:57,14:00
14:35,14:36,14:38,14:40,14:42,14:44,14:47,14:50
15:25,15:26,15:28,15:30,15:32,15:34,15:37,15:40
16:20,16:21,16:23,16:23,16:25,16:27,16:30,16:33
17:10,17:11,17:13,17:15,17:17,17:19,17:22,17:25
18:00,18:01,18:03,18:05,18:07,18:09,18:12,18:15
18:50,18:51,18:53,18:55,18:57,18:59,19:02,19:05
19:40,19:41,19:43,19:45,19:47,19:49,19:52,19:55
