CATEDRALA,SPITAL,ACR,ROMTELECOM,VALCEA,METALURGIC,STEAUA,KAUFLAND,GARA

05:55,05:58,05:59,06:00,06:02,06:03,06:04,06:06,06:08

06:20,06:23,06:24,06:25,06:27,06:28,06:29,06:31,06:33

06:45,06:48,06:49,06:50,06:52,06:53,06:54,06:56,06:58

07:10,07:13,07:14,07:15,07:17,07:18,07:19,07:21,07:23

07:35,07:38,07:39,07:40,07:42,07:43,07:44,07:46,07:48

08:00,08:03,08:04,08:05,08:07,08:08,08:09,08:11,08:13

08:25,08:28,08:29,08:30,08:32,08:33,08:34,08:36,08:38

08:50,08:53,08:54,08:55,08:57,08:58,08:59,09:01,09:03

09:15,09:18,09:19,09:20,09:22,09:23,09:24,09:26,09:28

09:40,09:43,09:44,09:45,09:47,09:48,09:49,09:51,09:53

10:05,10:08,10:09,10:10,10:12,10:13,10:14,10:16,10:18

10:30,10:33,10:34,10:35,10:37,10:38,10:39,10:41,10:43

11:30,11:33,11:34,11:35,11:37,11:38,11:39,11:41,11:43

11:55,11:58,11:59,12:00,12:02,12:03,12:04,12:06,12:08

12:20,12:23,12:24,12:25,12:27,12:28,12:29,12:31,12:33

12:45,12:48,12:49,12:50,12:52,12:53,12:54,12:56,12:58

13:10,13:13,13:14,13:15,13:17,13:18,13:19,13:21,13:23

13:35,13:38,13:39,13:40,13:42,13:43,13:44,13:46,13:48

14:25,14:28,14:29,14:30,14:32,14:33,14:34,14:36,14:38

14:40,14:43,14:44,14:45,14:47,14:48,14:49,14:51,14:53

15:15,15:18,15:19,15:20,15:22,15:23,15:24,15:26,15:28

15:30,15:33,15:34,15:35,15:37,15:38,15:39,15:41,15:43

16:20,16:23,16:24,16:25,16:27,16:28,16:29,16:31,16:33

17:10,17:13,17:14,17:15,17:17,17:18,17:19,17:21,17:23

18:00,18:03,18:04,18:05,18:07,18:08,18:09,18:11,18:13

18:50,18:53,18:54,18:55,18:57,18:58,18:59,19:01,19:03

19:40,19:43,19:44,19:45,19:47,19:48,19:49,19:51,19:53

20:30,20:33,20:34,20:35,20:37,20:38,20:39,20:41,20:43

