CATEDRALA,SPITAL,ACR,ROMTELECOM,VALCEA,METALURGIC,STEAUA,KAUFLAND,GARA

05:55,05:58,05:59,06:00,06:02,06:03,06:04,06:06,06:08

07:35,07:38,07:39,07:40,07:42,07:43,07:44,07:46,07:48

08:25,08:28,08:29,08:30,08:32,08:33,08:34,08:36,08:38

09:15,09:18,09:19,09:20,09:22,09:23,09:24,09:26,09:28

10:05,10:08,10:09,10:10,10:12,10:13,10:14,10:16,10:18

11:30,11:33,11:34,11:35,11:37,11:38,11:39,11:41,11:43

12:20,12:23,12:24,12:25,12:27,12:28,12:29,12:31,12:33

13:10,13:13,13:14,13:15,13:17,13:18,13:19,13:21,13:23

14:00,14:03,14:04,14:05,14:07,14:08,14:09,14:11,14:13

15:30,15:33,15:34,15:35,15:37,15:38,15:39,15:41,15:43

16:20,16:23,16:24,16:25,16:27,16:28,16:29,16:31,16:33

17:10,17:13,17:14,17:15,17:17,17:18,17:19,17:21,17:23

18:00,18:03,18:04,18:05,18:07,18:08,18:09,18:11,18:13

18:50,18:53,18:54,18:55,18:57,18:58,18:59,19:01,19:03

19:40,19:43,19:44,19:45,19:47,19:48,19:49,19:51,19:53

20:30,20:33,20:34,20:35,20:37,20:38,20:39,20:41,20:43
