LPS,OMV,AXXA,EROILOR
05:50,05:52,05:53,06:05
06:20,06:22,06:25,06:35
06:50,06:52,06:55,07:07
07:20,07:22,07:25,07:35
07:50,07:52,07:55,08:05
08:20,08:22,08:25,08:35
08:50,08:52,08:55,09:05
09:20,09:22,09:25,09:35
09:50,09:52,09:55,10:05
10:20,10:22,10:25,10:35
10:50,10:52,10:55,11:05
11:20,11:22,11:25,11:35
12:10,12:12,12:15,12:25
12:40,12:42,12:45,12:55
13:10,13:12,13:15,13:25
13:50,13:52,13:55,14:05
14:20,14:22,14:25,14:35
14:50,14:52,14:55,15:05
15:30,15:32,15:35,15:45
16:00,16:02,16:05,16:15
16:30,16:32,16:35,16:45
17:00,17:02,17:05,17:15
17:30,17:32,17:35,17:45
18:00,18:02,18:05,18:15
18:35,18:37,18:40,18:50
19:15,19:17,19:20,19:30
19:45,19:47,19:50,20:00
