SATU NOU,ALRO,ALTUR,DECORA,BAZIN,HELIOS,ACR,ROMTELECOM,UNION,13 DECEMBRIE,CATEDRALA
06:15,06:21,06:23,06:24,06:26,06:28,06:30,06:31,06:32,06:34,06:36
07:00,07:06,07:08,07:09,07:11,07:13,07:15,07:16,07:17,07:19,07:21
07:50,07:56,07:58,07:59,08:01,08:03,08:05,08:06,08:07,08:09,08:11
08:40,08:46,08:48,08:49,08:51,08:53,08:55,08:56,08:57,08:59,09:01
09:30,09:36,09:38,09:39,09:41,09:43,09:45,09:46,09:47,09:49,09:51
10:20,10:26,10:28,10:29,10:31,10:33,10:35,10:36,10:37,10:39,10:41
11:10,11:16,11:18,11:19,11:21,11:23,11:25,11:26,11:27,11:29,11:31
12:25,12:31,12:33,12:34,12:36,12:38,12:40,12:41,12:42,12:44,12:46
13:25,13:31,13:33,13:34,13:36,13:38,13:40,13:41,13:42,13:44,13:46
14:15,14:21,14:23,14:24,14:26,14:28,14:30,14:31,14:32,14:34,14:36
15:20,15:26,15:28,15:29,15:31,15:33,15:35,15:36,15:37,15:39,15:41
16:25,16:31,16:33,16:34,16:36,16:38,16:40,16:41,16:42,16:44,16:46
17:25,17:31,17:33,17:34,17:36,17:38,17:40,17:41,17:42,17:44,17:46
18:55,19:01,19:03,19:04,19:06,19:08,19:10,19:11,19:12,19:14,19:16
19:55,20:01,20:03,20:04,20:06,20:08,20:10,20:11,20:12,20:14,20:16
20:45,20:51,20:53,20:54,20:56,20:58,21:00,21:01,21:02,21:04,21:06
22:20,22:26,22:28,22:29,22:31,22:33,22:35,22:36,22:37,22:39,22:41
