CATEDRALA,SPITAL,ACR,ROMTELECOM,FINANTE,TRIBUNAL,LPS,OMV,ALTUR,ALRO,SATU NOU
05:50,05:53,05:55,05:56,05:58,06:00,06:02,06:06,06:08,06:09,06:15
06:35,06:38,06:40,06:41,06:43,06:45,06:47,06:51,06:53,06:54,07:00
07:25,07:28,07:30,07:31,07:33,07:35,07:37,07:41,07:43,07:44,07:50
08:15,08:18,08:20,08:21,08:23,08:25,08:27,08:31,08:33,08:34,08:40
09:05,09:08,09:10,09:11,09:13,09:15,09:17,09:21,09:23,09:24,09:30
09:55,09:58,10:00,10:01,10:03,10:05,10:07,10:11,10:13,10:14,10:20
10:45,10:48,10:50,10:51,10:53,10:55,10:57,11:01,11:03,11:04,11:10
12:00,12:03,12:05,12:06,12:08,12:10,12:12,12:16,12:18,12:19,12:25
13:00,13:03,13:05,13:06,13:08,13:10,13:12,13:16,13:18,13:19,13:25
13:50,13:53,13:55,13:56,13:58,14:00,14:02,14:06,14:08,14:09,14:15
14:15,14:18,14:20,14:21,14:23,14:25,14:27,14:31,14:33,14:34,14:40
15:55,15:58,16:00,16:01,16:03,16:05,16:07,16:11,16:13,16:14,16:20
17:00,17:03,17:05,17:06,17:08,17:10,17:12,17:16,17:18,17:19,17:25
18:30,18:33,18:35,18:36,18:38,18:40,18:42,18:46,18:48,18:49,18:55
19:30,19:33,19:35,19:36,19:38,19:40,19:42,19:46,19:48,19:49,19:55
20:20,20:23,20:25,20:26,20:28,20:30,20:32,20:36,20:38,20:39,20:45
21:55,21:58,22:00,22:01,22:03,22:05,22:07,22:11,22:13,22:14,22:20
