VALCEA,LPS,HELIOS,ACR,ROMTELECOM,FINANTE,MINULESCU,CLOCOCIOV

06:17,06:20,06:23,06:26,06:28,06:31,06:35,06:45

07:12,07:15,07:18,07:21,07:23,07:26,07:30,07:40

08:07,08:10,08:13,08:16,08:18,08:21,08:25,08:35

09:02,09:05,09:08,09:11,09:13,09:16,09:20,09:30

10:27,10:30,10:33,10:36,10:38,10:41,10:45,10:55

11:22,11:25,11:28,11:31,11:33,11:36,11:40,11:50

12:16,12:19,12:22,12:25,12:27,12:30,12:34,12:45

13:12,13:15,13:18,13:21,13:23,13:26,13:30,13:40

14:07,14:10,14:13,14:16,14:18,14:21,14:25,14:35

15:02,15:05,15:08,15:11,15:13,15:16,15:20,15:30

15:57,16:00,16:03,16:05,16:07,16:10,16:14,16:25

16:52,16:55,16:58,17:01,17:03,17:06,17:10,17:20

17:47,17:50,17:53,17:56,17:58,18:01,18:05,18:15

18:42,18:45,18:48,18:51,18:53,18:56,19:00,19:10

20:07,20:10,20:13,20:16,20:18,20:21,20:25,20:45

21:12,21:15,21:18,21:21,21:23,21:26,21:30,21:40
