CLOCOCIOV,BANULUI,CUZA VODA,LIDL,GARA,TUNARI,VALCEA
06:00,06:04,06:06,06:10,06:13,06:15,06:17
06:55,06:59,07:01,07:05,07:08,07:10,07:12
07:50,07:54,07:56,08:00,08:03,08:05,08:07
08:45,08:49,08:51,08:55,08:58,09:00,09:02
10:10,10:14,10:16,10:20,10:23,10:25,10:27
11:05,11:09,11:11,11:15,11:18,11:20,11:22
12:00,12:04,12:06,12:10,12:13,12:15,12:17
12:55,12:59,13:01,13:05,13:08,13:10,13:12
13:50,13:54,13:56,14:00,14:03,14:05,14:07
14:45,14:49,14:51,14:55,14:58,15:00,15:02
15:40,15:44,15:46,15:50,15:53,15:55,15:57
16:35,16:39,16:41,16:45,16:48,16:50,16:52
17:30,17:34,17:36,17:40,17:43,17:45,17:47
18:25,18:29,18:31,18:35,18:38,18:40,18:42
19:50,19:54,19:56,20:00,20:03,20:05,20:07
20:55,20:59,21:01,21:05,21:08,21:10,21:12
